"","Soil_ID","K_fix","K_mg_kg","K_cmol","Ca_cmol","Mg_cmol","Na_cmol","CEC_cmol","clay_pct","silt_pct","sand_pct","x","y","coords.x1","coords.x2","optional"
"1","BH A",NA,716,1.83333333333333,27.3,8.86666666666667,0.033333333333333,30.6333333333333,41.38858857,28.60212548,30.00928595,-121.0268276,38.23970781,-121.0268276,38.23970781,TRUE
"2","BH B",NA,1186.36666666667,3,29.4666666666667,5.76666666666667,0.033333333333333,27.7,36.7925278466667,28.7691893466667,34.4382828,-121.0265062,38.23971594,-121.0265062,38.23971594,TRUE
"3","BH C",NA,623.066666666667,1.56666666666667,17.0666666666667,5.43333333333333,0.033333333333333,19.5333333333333,23.79761284,38.2008382733333,38.0015488933333,-121.0262494,38.23971218,-121.0262494,38.23971218,TRUE
"4","BH D",-92.2333333333333,157.933333333333,0.433333333333333,17.8,9.26666666666667,0.166666666666667,25.6333333333333,52.1025148333333,28.57120977,19.3262754033333,-121.0257462,38.23971612,-121.0257462,38.23971612,TRUE
"5","BH E",-72.3,268.1,0.7,15.7,8.36666666666667,0.233333333333333,23.4666666666667,46.2794937266667,26.1470938433333,27.57341243,-121.0252918,38.23971172,-121.0252918,38.23971172,TRUE
"6","BH F",NA,294.733333333333,0.766666666666667,9.3,1.36666666666667,0.066666666666667,9,12.2177369353333,9.48964019033333,78.2926228766667,-121.0240611,38.23971524,-121.0240611,38.23971524,TRUE
"7","BH G",-134.9,350.733333333333,0.933333333333333,13.7,6.16666666666667,0.166666666666667,19.4,31.0432390133333,19.08727206,49.8694889266667,-121.0264443,38.2427951,-121.0264443,38.2427951,TRUE
"8","BH H",-50.2,225.9,0.566666666666667,19.1333333333333,7.36666666666667,0.266666666666667,22.6333333333333,46.60486373,31.04155732,22.3535789533333,-121.0275596,38.23726995,-121.0275596,38.23726995,TRUE
"9","BH I",-37.9,206.533333333333,0.566666666666667,19.8666666666667,10.4666666666667,0.433333333333333,27.6333333333333,57.8073510633333,29.0424684833333,13.1501804533333,-121.0271165,38.23727317,-121.0271165,38.23727317,TRUE
"10","Carlson A",-304.8,239.2,0.6,14.2,5.6,0.1,20.9,29.2855325,47.31146297,23.40300453,-121.037229,38.016358,-121.037229,38.016358,TRUE
"11","Carlson B",-112.9,135.9,0.3,12,4.2,0,17.5,18.33809562,52.75947107,28.90243331,-121.035187,38.016883,-121.035187,38.016883,TRUE
"12","Carlson C",-88.2,154.7,0.4,13.5,5.9,0.7,20.4,25.81601311,46.76717769,27.4168092,-121.030935,38.016992,-121.030935,38.016992,TRUE
"13","Carlson D",-128.5,170.3,0.4,16.2,7,0.3,25.7,32.72671141,48.34293146,18.93035713,-121.034642,38.015117,-121.034642,38.015117,TRUE
"14","Carlson E",-202.5,241.9,0.6,17.4,11.4,0.2,31,40.77398057,39.01514712,20.21087231,-121.030109,38.014266,-121.030109,38.014266,TRUE
"15","Carlson F",-315,252.8,0.6,22.5,8.8,0.3,31,38.32293327,39.10278752,22.57427921,-121.029026,38.012157,-121.029026,38.012157,TRUE
"16","Carlson G",-125.58,151.06,0.42,4.26,0.84,0,7.02,14.988855976,34.018345884,50.992798144,-121.045116,37.996439,-121.045116,37.996439,TRUE
"17","CM A",-88.1666666666667,83.6666666666667,0.2,3.66666666666667,0.9,0,6.2,11.41705607,27.82065793,60.762286,-121.085485,38.144246,-121.085485,38.144246,TRUE
"18","CM B",-113.133333333333,111.4,0.266666666666667,2.6,0.5,0,4.73333333333333,7.26291391433333,20.4260636966667,72.3110223866667,-121.084738,38.144263,-121.084738,38.144263,TRUE
"19","CM C",-129.066666666667,148.933333333333,0.366666666666667,7.03333333333333,1.6,0,10.4666666666667,15.00130275,34.38629562,50.6124016366667,-121.084097,38.14427,-121.084097,38.14427,TRUE
"20","CM D",-88.2333333333333,121.566666666667,0.333333333333333,7.36666666666667,1.43333333333333,0,11.2333333333333,14.3788222466667,35.49261863,50.1285591166667,-121.083387,38.144285,-121.083387,38.144285,TRUE
"21","CM F",31.6666666666667,75.9,0.166666666666667,4.43333333333333,1.76666666666667,0.033333333333333,8.43333333333333,14.61315971,19.65272953,65.7341107533333,-121.082757,38.144271,-121.082757,38.144271,TRUE
"22","CM G",181.3,42.3666666666667,0.1,4.83333333333333,1.73333333333333,0.033333333333333,8.23333333333333,10.87668074,30.5387034266667,58.5846158333333,-121.082121,38.144293,-121.082121,38.144293,TRUE
"23","CM H",3.73333333333333,40.4333333333333,0.1,3.33333333333333,1.23333333333333,0,8.5,9.55912179,29.85968226,60.58119595,-121.081148,38.144316,-121.081148,38.144316,TRUE
"24","CM I",-94.1,95.8,0.266666666666667,4.73333333333333,1.56666666666667,0,11.9,14.0868437233333,44.4142772833333,41.4988789966667,-121.080838,38.144314,-121.080838,38.144314,TRUE
"25","CM J",-2.73333333333333,59.3333333333333,0.133333333333333,5.23333333333333,1.9,0.066666666666667,9.23333333333333,12.8948752833333,33.59027339,53.5148513266667,-121.080518,38.144295,-121.080518,38.144295,TRUE
"26","CM K",264.3,67.7666666666667,0.2,9.06666666666667,2.36666666666667,0.033333333333333,11.1333333333333,15.0297648966667,30.4992040233333,54.47103108,-121.080023,38.144331,-121.080023,38.144331,TRUE
"27","CM L",-44.8333333333333,76.9,0.2,3.83333333333333,0.566666666666667,0,5.5,9.89050030866667,17.2619458,72.8475538866667,-121.079344,38.144333,-121.079344,38.144333,TRUE
"28","CM M",-144.266666666667,127.266666666667,0.333333333333333,3.03333333333333,0.5,0,2.3,14.1131784066667,11.4755659666667,74.4112556266667,-121.078967,38.14436,-121.078967,38.14436,TRUE
"29","CM N",-46,65.2,0.2,2.6,0.5,0,5.33333333333333,15.9655663033333,16.7249383633333,67.3094953266667,-121.078162,38.144339,-121.078162,38.144339,TRUE
"30","CM P",-49.1333333333333,71.0666666666667,0.2,2.9,0.966666666666667,0.033333333333333,5.3,14.7798319466667,22.7341104866667,62.4860575666667,-121.080648,38.146808,-121.080648,38.146808,TRUE
"31","CM Q",99.6,85.9,0.2,3.7,0.9,0.1,6.46666666666667,15.9908626233333,21.80930981,62.1998275566667,-121.078924,38.146842,-121.078924,38.146842,TRUE
"32","DH A",211.526666666667,89.26,0.213333333333333,10.2466666666667,5.21333333333333,0.16,16.4133333333333,23.6524817713333,44.8135038573333,31.5340143713333,-121.398626,38.20429,-121.398626,38.20429,TRUE
"33","DH C",281,72.6333333333333,0.166666666666667,8.5,4.46666666666667,0.266666666666667,13.4333333333333,30.7187849633333,30.7187849633333,37.4143914833333,-121.398127,38.204341,-121.398127,38.204341,TRUE
"34","DH D",-381.6,440.533333333333,1.13333333333333,14.8,5.83333333333333,0.166666666666667,17.7,33.17040879,33.17040879,38.43358711,-121.396906,38.202725,-121.396906,38.202725,TRUE
"35","DH E",287.833333333333,85.3,0.233333333333333,12.3333333333333,4.86666666666667,0.166666666666667,15.4666666666667,35.7065585,35.7065585,35.2263549733333,-121.396923,38.20257,-121.396923,38.20257,TRUE
"36","DH F",-371.6,457.566666666667,1.16666666666667,17.6666666666667,7.56666666666667,0.2,19.3666666666667,40.60516159,40.60516159,36.85410022,-121.396872,38.202433,-121.396872,38.202433,TRUE
"37","DON A",-64.5866666666667,168.7,0.44,17.6466666666667,10.1333333333333,0.316666666666667,28.84,48.2479225773333,39.451363457,12.3007139663333,-121.106495,37.971256,-121.106495,37.971256,TRUE
"38","DON B",15.2,134.8,0.3,15.5,9.1,0.1,24.5,44.14298825,40.19371471,15.66329704,-121.10449,37.971304,-121.10449,37.971304,TRUE
"39","DON C",42.5,251,0.6,20.7,11.7,0.1,20,34.78528755,40.09024794,25.12446451,-121.102644,37.971356,-121.102644,37.971356,TRUE
"40","DON D",108.3,217.3,0.6,24,17.3,0.4,24.5,43.52268939,42.7435956,13.73371501,-121.106413,37.97002,-121.106413,37.97002,TRUE
"41","DON E",-108.2,142.2,0.4,16,7.7,0.2,23.4,37.28578045,44.23850741,18.47571214,-121.104498,37.970088,-121.104498,37.970088,TRUE
"42","DON F",-29.5,259.7,0.7,25.6,15.5,0.3,24.1,37.30587222,43.1493163,19.54481147,-121.102641,37.970157,-121.102641,37.970157,TRUE
"43","DON G",-31.6,193.1,0.5,15.8,9.7,0.2,25.7,41.46215082,40.52274399,18.01510519,-121.106398,37.96883,-121.106398,37.96883,TRUE
"44","DON H",-307.4,264.1,0.7,13.4,6.7,0.1,22.2,35.00993843,40.20245434,24.78760722,-121.104519,37.968863,-121.104519,37.968863,TRUE
"45","DON I",32.2,182.6,0.5,15.8,13.3,0.3,29.1,46.19783295,38.46367603,15.33849103,-121.10256,37.968885,-121.10256,37.968885,TRUE
"46","JD A",1.38,58.36,0.13,8.01,4.29,0.13,13.85,30.348735528,24.31842617,45.332838309,-121.121638,38.239064,-121.121638,38.239064,TRUE
"47","JD B",-296.5,180.76,0.473333333333333,9.79333333333333,5.66,0.36,13.9533333333333,26.2752602346667,30.0622221486667,43.6625176166667,-121.130495,38.240102,-121.130495,38.240102,TRUE
"48","JL EA 1",-50.9,52.4,0.1,2.6,0.4,0,3.8,7.374793582,1.858516173,90.76669024,-121.039584,38.194334,-121.039584,38.194334,TRUE
"49","JL EA 2",12,73.5,0.2,5.7,0.8,0,6.6,16.79396718,6.000433698,77.20559912,-121.039285,38.194337,-121.039285,38.194337,TRUE
"50","JL EA 3",-118.9,112.3,0.3,4,0.6,0.1,5.4,13.77051257,6.599585909,79.62990152,-121.038962,38.194336,-121.038962,38.194336,TRUE
"51","JL EA 4",35.8,104.1,0.3,9.9,3.8,0.1,13.2,28.87974321,37.31827357,33.80198322,-121.038385,38.194348,-121.038385,38.194348,TRUE
"52","JL NA 1",-542.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.040352,38.192233,-121.040352,38.192233,TRUE
"53","JL NA 2",-118.8,262.2,0.7,19.1,7.8,0.2,21.9,35.09483002,46.05632169,18.84884829,-121.040151,38.191467,-121.040151,38.191467,TRUE
"54","JL NA 3",-1015.3,1059.7,2.7,31,7.2,0.1,27.5,42.17276177,38.99142299,18.83581523,-121.040282,38.191173,-121.040282,38.191173,TRUE
"55","JL NA 4",-254.9,284.4,0.7,17.5,6.1,0.2,21.2,38.62327028,34.87576305,26.50096667,-121.040141,38.19089,-121.040141,38.19089,TRUE
